Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,sigma2_corr,tau_corr,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,,426.125370789376,1.6690642924118089,-0.9011719979332922,0.9111499541583437,-0.3976134563908509,4.873933239841994,4.299004531334485,3.265818884054019,4.146252218410166
ELM,GHI,1.0,0.5,27000,500.0,100.0,25.0,0.5,425.8453703487389,1.6679675758833816,-0.8715541839643823,0.9139322404855839,-0.39577735912373124,4.888816276109742,4.296179721441461,3.265707143475115,4.150234380342106
Persistence_P,GHI,1.0,0.5,0,,,,,426.7806513307136,1.6716309205171311,-0.9192154285939801,0.9226759491687735,-0.4019151625542403,4.935588217650207,4.305615388630513,3.2666990399780547,4.169300882086258
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,4.86556509332689,4.310570905910951,3.270663831271156,4.148933276836332
BLEND_opti,GHI,1.0,1.0,0,,,,,426.79293367451345,1.6716790284751846,-0.8977654841831423,0.9138374674865335,-0.40199585530224313,2.798589327920389,2.9034558350016835,2.6640287283485793,2.7886912970902173
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,0.5,426.23949868637555,1.6695113129618813,-0.8698221290507658,0.9210060846115677,-0.398362193995478,2.8205429204309342,2.8996908381640636,2.662797515051896,2.7943437578822983
Persistence_P,GHI,1.0,1.0,0,,,,,430.04983200040095,1.6844357734905888,-0.9484237310561786,0.9517029734869595,-0.42347503168865885,2.9145508689595885,2.925612388454644,2.6681196699889114,2.8360943091343813
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,2.785568110782172,2.906713894279451,2.6663377616478323,2.786206588903152
BLEND_opti,GHI,1.0,3.0,0,,,,,427.205284676052,1.6732245018868783,-0.8912250910674241,0.911751245883839,-0.4045617854080348,1.073992443704033,1.2713034561759653,1.3370114102902815,1.2274357700567597
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,0.5,427.1429668217827,1.6729804230694838,-0.8626535048791467,0.9346756721521529,-0.4041520391071274,1.1009961475098362,1.2711180069168952,1.3361032430226836,1.2360724658164717
Persistence_P,GHI,1.0,3.0,0,,,,,441.175294407671,1.727940497716069,-0.9868435401657701,1.0029184408260836,-0.4979247053914051,1.1813823473906988,1.3128762603796553,1.3563064466688142,1.2835216848130562
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,,427.2921635530461,1.6735647782619547,-0.8821214814572538,0.9095790176256782,-0.4051331227158208,1.0714336791881658,1.2715619956195379,1.3372470419104991,1.226747572239401
BLEND_opti,GHI,1.0,6.0,0,,,,,427.2477082821977,1.6731180417852651,-0.8911631225782509,0.911772742217007,-0.4047094462954193,0.6095937557526873,0.7992395426418942,0.8741079447270619,0.7609804143738811
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,0.5,427.569754730231,1.6743791877482563,-0.8591486866788751,0.9389707595340951,-0.406827899711401,0.6277778281181717,0.799841985325251,0.8737347129678925,0.7671181754704385
Persistence_P,GHI,1.0,6.0,0,,,,,465.0309366064676,1.8210785802756762,-0.8371437504264483,1.1558308250778413,-0.6641432606425182,0.7727663057361205,0.8699195007552751,0.9108653207686812,0.8511837090866923
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,,427.3287194152152,1.6734352844190101,-0.8821204845863235,0.9095782529566788,-0.4052421952849423,0.6081265623521589,0.7993910877517839,0.8742515491597597,0.7605897330879009
BLEND_opti,GHI,1.0,10.0,0,,,,,427.2965341903823,1.6729310655477247,-0.8911885058356638,0.9118153474652503,-0.40486703378612043,0.4697767142212761,0.689318500157196,0.7846681452906031,0.6479211198896917
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,0.5,427.60387129252615,1.674134337151006,-0.860594218532464,0.9372289144778774,-0.40688868856231797,0.48287004725303795,0.6898142990540764,0.7843607692279273,0.6523483718450139
Persistence_P,GHI,1.0,10.0,0,,,,,578.5665539318165,2.2651762514136835,-0.32697161856997853,1.665576649984615,-1.5756279501333461,0.8581223469078233,0.9333486169108597,0.9610384778845444,0.9175031472344092
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,,427.3775568223868,1.673248281502564,-0.8821221778148948,0.9095799616426561,-0.40539985728105776,0.46862502028491676,0.6894492065746443,0.7847970501875647,0.6476237590157086
