Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,GHI,1.0,0.5,53,56.55076625498961,0.3942373887048172,0.004836426043621314,0.178323285594731,0.9383984017592466,0.7855706501822758,0.8650798914258124,0.9017038736839382,0.8507848050973422
BLEND_opti,GHI,1.0,0.5,0,60.902984618483146,0.42457839584449425,-0.014106291841945071,0.2032503734132351,0.928551659741187,0.8953823807110426,0.9316575319899704,0.9441251580627641,0.9237216902545923
Persistence_P,GHI,1.0,0.5,0,65.36023992354235,0.4556516563611401,-0.001094916406653295,0.22608992851680365,0.9177109085000353,0.9959978673130594,0.9998419650349873,0.9999934265352141,0.9986110862944203
Persistence_Pcyclic,GHI,1.0,0.5,0,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.7904470351275603,1.9242216528250429,1.863439530471063,1.859369406141222
AR_OLS,GHI,1.0,1.0,53,70.63681174182432,0.49243669098955,0.011393917042319634,0.2403631867374759,0.9038880984857073,0.6688207002841062,0.7537580517009871,0.8134535020272722,0.7453440846707885
BLEND_opti,GHI,1.0,1.0,0,77.976296661644,0.5436030952816014,-0.03106596543229093,0.271458375291554,0.8828775353554388,0.7553443733410765,0.8320769298784464,0.8733300059944213,0.8202504364046481
Persistence_P,GHI,1.0,1.0,0,93.56031834043505,0.6522453722838828,-0.005562939650215017,0.35404415289870267,0.831384158687682,0.9851427811690117,0.9983724000251587,0.9997668329906175,0.994427338061596
Persistence_Pcyclic,GHI,1.0,1.0,0,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.1309047789318032,1.3422649501526953,1.4159335545291623,1.2963677612045537
AR_OLS,GHI,1.0,3.0,53,95.22474301133826,0.6637728903346211,0.0321856680700763,0.3531295920813762,0.8253435362638075,0.42814852162593586,0.49223235965725176,0.5388571662140008,0.48641268249906283
BLEND_opti,GHI,1.0,3.0,0,105.0103782613883,0.731984567134974,-0.0612078356844394,0.3629235341009414,0.7876024563169378,0.440023090879256,0.5428159178539252,0.611080811061602,0.5313066065982611
Persistence_P,GHI,1.0,3.0,0,186.9363044059659,1.3030568228390613,-0.08766698018074288,0.7375759395068033,0.3269112222669631,0.8942667371074541,0.9663045056724248,0.9852181762594467,0.9485964730131086
Persistence_Pcyclic,GHI,1.0,3.0,0,125.79465289929921,0.8768632784198341,-0.0016201007474411617,0.40642862346398667,0.695203899474063,0.492770411159624,0.6502532521564721,0.7455361239845161,0.629519929100204
AR_OLS,GHI,1.0,6.0,53,105.54521398960723,0.7355866101637589,0.04289203059354872,0.39045565454058373,0.7854555860913364,0.27549123911225604,0.34421962899783526,0.38902782889841603,0.3362462323361692
BLEND_opti,GHI,1.0,6.0,0,118.65631073902036,0.8269630624809575,-0.08566864135785575,0.4001137571361535,0.7288423858155016,0.28230564331049324,0.3869794727486102,0.45170306556444884,0.37366272720785076
Persistence_P,GHI,1.0,6.0,0,267.7677800522861,1.866180248202736,-0.38487638927587026,1.0329034124309977,-0.38088260205304225,0.7287788963095081,0.8732838034346846,0.9237319114165821,0.8419315370535916
Persistence_Pcyclic,GHI,1.0,6.0,0,125.8054329881199,0.8767881412512679,-0.0016201007474411619,0.4064286234639867,0.6951831888436828,0.2867611821898827,0.4102952453471435,0.48282855989390266,0.39329499581030963
AR_OLS,GHI,1.0,10.0,53,105.75116314976184,0.7368535185559139,0.04557939562302669,0.3915469749000893,0.7846471964510593,0.20981605615296084,0.2849130102430915,0.33171966500713995,0.27548291046773077
BLEND_opti,GHI,1.0,10.0,0,122.10747364681305,0.8508211060639322,-0.09617693908505254,0.40768509129634917,0.7128791598128372,0.21846389703301028,0.32897990767840385,0.396559593121336,0.3146677992775833
Persistence_P,GHI,1.0,10.0,0,277.8241531383051,1.9358246158471515,-0.8116403467433019,1.055467340576627,-0.4863470402968033,0.5655872960186963,0.7485091740955515,0.8218673284221957,0.7119879328454811
Persistence_Pcyclic,GHI,1.0,10.0,0,125.81981075193693,0.8766879483425589,-0.0016201007474411612,0.4064286234639867,0.6951555592422209,0.21779060074375506,0.3389816240487486,0.41090268920040124,0.32255830466430163
