Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,27000,1m,10.0,336,69.07353706053614,0.4824314198939874,-0.0008641476774821489,0.23244951218429433,0.9079685262540118,1.028016816979735,1.0578792321378374,1.0319848889644045,1.0392936460273257
Persistence_P,GHI,1.0,0.5,0,1m,,336,65.29435020758224,0.4560363841523345,-0.0010963706301933506,0.22611450352263696,0.9177635803584099,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,1.0,27000,1m,10.0,336,78.98563232227845,0.5516606268340626,-0.003712168940197468,0.2716968118243157,0.8796602280808599,0.7673345811884968,0.8450705613038496,0.8846680395567555,0.8323577273497006
Persistence_P,GHI,1.0,1.0,0,1m,,336,93.4663162333006,0.6527983012245886,-0.005568762781886489,0.3540786750461504,0.8314909469403797,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,3.0,27000,1m,100.0,336,97.2088990838639,0.6789376830414741,-0.0017839538452210195,0.35471676927363377,0.8177258696520724,0.4808968599839367,0.5205668666106271,0.5576247698639498,0.5196961654861713
Persistence_P,GHI,1.0,3.0,0,1m,,336,186.73662370558452,1.3042276152955867,-0.08770080755623927,0.7376150663272834,0.3273765719850448,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,27000,1m,100.0,336,108.46345979881582,0.7575430931168098,-0.0037835942645220986,0.39470527122734345,0.7730762809156836,0.3821290382103026,0.40553580276486073,0.4286532495074441,0.40543936349420245
Persistence_P,GHI,1.0,6.0,0,1m,,336,267.4571740875503,1.868005458339399,-0.3849627029725141,1.0329109587586998,-0.3798169916488965,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,10.0,27000,1m,100.0,336,108.77900950929194,0.7597469920533695,-0.002168918521596298,0.39715407934079744,0.7717539946039489,0.37628666385135473,0.39203907701433754,0.41108056025477263,0.39313543370682164
Persistence_P,GHI,1.0,10.0,0,1m,,336,277.46981330974234,1.9379368960854486,-0.8116782959547956,1.0554561654560417,-0.4850616033545039,1.0,1.0,1.0,1.0
