Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,1.0,0.5,53,1012.4226870330966,0.42403686286931236,0.013726746286067999,0.21238570088817757,0.9326557747291361,0.8873185559925647,0.8660452090912856,0.8801269421497562,0.8778302357445354
BLEND_tilde,1.0,0.5,0,1133.085429219593,0.4745745002783582,-0.0018581067541803015,0.23312343519042264,0.9156467279055963,0.9739579878313108,0.969262364460124,0.9667247037746184,0.969981685355351
Persistence_P,1.0,0.5,0,1169.018287273248,0.48962439653033946,-0.000202838255709401,0.23935676703007805,0.9102118064538459,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,2298.3492310510946,0.9626263913237879,0.0004946001312384606,0.4292719016161306,0.6529367225316409,1.7934395878692138,1.9660507077370255,1.9380362370529507,1.8991755108863968
AR_OLS,1.0,1.0,53,1277.0089818097106,0.5348545517973192,0.02206602150902771,0.28533369129562597,0.892856821050017,0.7527683438219981,0.7514098691776911,0.7848644338879603,0.7630142156292165
BLEND_tilde,1.0,1.0,0,1603.5264115254515,0.6716110946347357,-0.00418652132320243,0.35653873523534396,0.831061412335539,0.9406217401555554,0.943537272071323,0.9454274932384881,0.9431955018217888
Persistence_P,1.0,1.0,0,1699.4839091043764,0.7118013400364833,-0.0002546343014343119,0.3790458162027824,0.8102373493608153,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,2298.3492310510946,0.9626263913237879,0.0004946001312384606,0.4292719016161306,0.6529367225316409,1.1325066344657349,1.3523806955385171,1.42930300902989,1.3047301130113806
AR_OLS,1.0,3.0,53,1800.1642873493693,0.7538940433388318,0.029405228226077235,0.4253054025715125,0.7871049186508371,0.4781295753465746,0.5008831432370779,0.5401293743137695,0.5063806976324741
BLEND_tilde,1.0,3.0,0,3007.596817045506,1.2595568865961992,-0.002229239969157101,0.727738737658974,0.40573441870968907,0.8181260136746823,0.8368428136799365,0.8460772392593742,0.8336820222046644
Persistence_P,1.0,3.0,0,3593.980575419995,1.5051295966292857,-0.0006037227097737813,0.8895191272433373,0.151419992754098,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,2298.479541437,0.9625843858823462,0.0004903766646746726,0.42926939093792327,0.652925561768714,0.4825859026418576,0.6395358831811154,0.727110200816252,0.6164106622130751
AR_OLS,1.0,6.0,53,1960.4523787059045,0.8208813184123273,0.016668196611863452,0.4581284878791369,0.7475315338611821,0.3033693906969681,0.35581051532546015,0.40222037317843484,0.3538000930669544
BLEND_tilde,1.0,6.0,0,3817.008558028834,1.5982591832065542,-0.005409954414536815,1.0169849142541145,0.042936366548376736,0.6734400980247995,0.6927644847616418,0.7061835485917687,0.6907960437927366
Persistence_P,1.0,6.0,0,5509.8213635217535,2.307074364177985,-0.0003613495671311006,1.5101341860054551,-0.994204004852417,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,2298.6764987692864,0.9625026424557859,0.0004911505510769234,0.4292689494737493,0.6529034809424423,0.2842588118670658,0.4171961933263158,0.4939210346380854,0.39845867994382234
AR_OLS,1.0,10.0,53,1964.8992270391454,0.8225552809507484,0.013929613764461628,0.45830679134880487,0.74642114015482,0.23780730197200886,0.3068670594352523,0.3589509669753837,0.30120844279421494
BLEND_tilde,1.0,10.0,0,3731.279745179784,1.5620057338650726,-0.003954894036432327,1.1095225274374234,0.08557497588397323,0.575711649287446,0.5827305683554155,0.5923310826358565,0.583591100092906
Persistence_P,1.0,10.0,0,6403.095955151652,2.6804939000769625,0.00041776343322513006,1.9272191709350872,-1.6928521010434827,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,2298.9392046557177,0.9623926547234581,0.000491150551076924,0.4292689494737491,0.6528737519211738,0.22274007852748148,0.35903556978653295,0.4401107555876496,0.3406288013005547
