Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_m_est,c_welsch,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1523.9844515944744,0.32042799964603813,-0.013953110765921577,0.21551814970164931,0.8781426183918789,0.9015170773163849,0.9236259768979989,0.930546411154593,0.9185631551229924
ELM,1.0,0.5,27000,500.0,100.0,25.0,1196.1635495845367,1381.0102960178085,0.29036672006764047,0.0019057602303327453,0.18319995816742946,0.8999344463448493,0.7663293837675382,0.8369750639063985,0.8708220440484867,0.8247088305741411
Persistence_P,1.0,0.5,0,,,,,1650.0017211650777,0.34692397968514993,-0.0002763530957618725,0.2390616385695086,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.7953197188124719,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_opti,1.0,1.0,0,,,,,1947.2216351765815,0.40941646929160946,-0.031249255711225495,0.2823212952951644,0.8010602617057462,0.7500471023815478,0.8121582119343046,0.8484707796949155,0.8035586980035894
ELM,1.0,1.0,27000,500.0,100.0,10.0,1581.9282702124267,1704.6090011277738,0.3584055282444222,-0.0027523182963216718,0.23517501043391273,0.8475454731212093,0.624792879843123,0.7109679624515419,0.7696200879885532,0.7017936434277394
Persistence_P,1.0,1.0,0,,,,,2397.5890492308313,0.5041092526990629,-0.002691673893072258,0.37640475431308046,0.698393801718226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.1402408413217646,1.3530501623044877,1.4293762140342643,1.3075557392201722
BLEND_opti,1.0,3.0,0,,,,,2701.844031219094,0.5679595267081966,-0.07335309387244764,0.3818854894353652,0.6169848867537547,0.47278361337001523,0.5492104428309822,0.6062177591342676,0.5427372717784217
ELM,1.0,3.0,27000,500.0,100.0,25.0,2028.5557403640848,2388.8101811817546,0.5021561142030597,-0.025501297010727855,0.33714130386431257,0.7005952791899317,0.4173892129101854,0.48557928669702793,0.5388447339990785,0.4806044112020973
Persistence_P,1.0,3.0,0,,,,,4919.505931628067,1.0341382508689558,-0.08224470955262753,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,3244.4260851871327,0.6820166828620261,0.0004932302429671041,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730714,0.6429262248925509
BLEND_opti,1.0,6.0,0,,,,,3055.3639243818593,0.6422009785330717,-0.11535829149971133,0.42270567151451754,0.5101876540283092,0.38333530710552716,0.452209214204633,0.5046009684355094,0.4467151632485565
ELM,1.0,6.0,27000,500.0,100.0,25.0,2188.193205946335,2696.0378827112695,0.5666749393166619,-0.03382612709092056,0.3830077110980882,0.6186218434638712,0.3473347732277308,0.3990271544013994,0.4413018083687503,0.3958879119992935
Persistence_P,1.0,6.0,0,,,,,6756.527351517545,1.420141293809338,-0.4077291436022946,1.1027047696343617,-1.3952503538388226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.38921489402071086,0.4802186907469083,0.538525708802498,0.4693197645233724
BLEND_opti,1.0,10.0,0,,,,,3138.9063692671284,0.6597606019305429,-0.13451456859532232,0.4332921004834988,0.48303569511704747,0.4032919730637778,0.46926838488584394,0.518685233972501,0.4637485306407076
ELM,1.0,10.0,27000,500.0,100.0,25.0,2001.2561652742008,2718.63137962238,0.5714238223250041,-0.036866207849429185,0.3895972263134096,0.6122029639620064,0.36262242936066136,0.40643702185778613,0.4436003785639882,0.40421994326081184
Persistence_P,1.0,10.0,0,,,,,6688.936374929052,1.4059344783924421,-0.8524654027893624,1.0743881094181278,-1.3475668301253614,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.399473073358763,0.48507124853252115,0.5402874347378407,0.47494391887637494
