Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda1_en,lambda2_en,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,1079.7172358985167,0.45222209592915347,-0.014077223980205958,0.2156168920282581,0.9234056574942698,0.9008180328620633,0.9236102186365046,0.9305458862781317,0.9183247125922332
ELM,PAC,1.0,0.5,27000,500.0,100.0,10.0,25.0,974.0010903115351,0.4079445986906174,-0.002836666002573395,0.1894167175796877,0.9376702320394131,0.7913572694432542,0.8331786601759726,0.8531905192846733,0.8259088163013
Persistence_P,PAC,1.0,0.5,0,,,,,1168.9972576085772,0.4896155885955229,-0.00040218779649276094,0.23915741748929475,0.9102150368543256,0.9991671447469114,0.9999820108334492,0.9999994157912391,0.9997161904572
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,2298.349150199233,0.9626263574602938,0.0003715221020569288,0.42926392103525896,0.6529367469497853,1.7934062460883622,1.9660506385748382,1.938036235511989,1.8991643733917298
BLEND_opti,PAC,1.0,1.0,0,,,,,1379.5702537643583,0.5778106812564306,-0.03137119186865048,0.2824116291442307,0.8749555942002302,0.7450593492190025,0.8117583499165864,0.8484273617389378,0.8017483536248422
ELM,PAC,1.0,1.0,27000,500.0,100.0,10.0,25.0,1187.1073484468084,0.4972007071469711,-0.005825730161089123,0.24092134534691695,0.9074115932691573,0.6355995371758135,0.6985104960907873,0.7452386525055136,0.6931162285907049
Persistence_P,PAC,1.0,1.0,0,,,,,1698.6449398182374,0.7114499513243432,-0.002817204578617908,0.3764832459255988,0.8104246600355614,0.9932394181187515,0.99950633878812,0.999948806613991,0.9975648545069542
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,2298.349150199233,0.9626263574602938,0.0003715221020569288,0.42926392103525896,0.6529367469497853,1.1324855800693254,1.3523806479641558,1.4293030078934297,1.3047230786423036
BLEND_opti,PAC,1.0,3.0,0,,,,,1914.0941029429416,0.8016069159573388,-0.07346973206351681,0.38196329227257214,0.7593045309918656,0.4294042484013748,0.5325833189065745,0.5973299593733157,0.5197725088937549
ELM,PAC,1.0,3.0,27000,500.0,100.0,1.0,25.0,1651.210358086483,0.6915133590910891,-0.013408103964001985,0.34979555650595673,0.8208791452432089,0.3932411859315382,0.4594377524963449,0.5054309044002885,0.45270328094272383
Persistence_P,PAC,1.0,3.0,0,,,,,3485.1693758636397,1.4595603584377668,-0.08236022854504428,0.8077626214080669,0.20202529862552554,0.908089097433309,0.9697240435019213,0.985338916178695,0.9543840190379752
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,2298.4794605804855,0.9625843520203009,0.0003672969238346022,0.42926141024606496,0.6529255861876643,0.48257693072476904,0.6395358606833549,0.7271102002381157,0.6164076638820798
BLEND_opti,PAC,1.0,6.0,0,,,,,2164.6030479950164,0.9063633593846394,-0.11546964253078297,0.42277833632117434,0.6922124290939874,0.2799607745054035,0.392862654736133,0.4628061924513719,0.3785432072309695
ELM,PAC,1.0,6.0,27000,500.0,100.0,10.0,25.0,1853.8341583219126,0.7762380991909759,-0.023540042408798204,0.3957318111550649,0.7742455565883424,0.26205076000685634,0.3364599387187725,0.38293595656094187,0.32714888509552353
Persistence_P,PAC,1.0,6.0,0,,,,,4786.72320980936,2.004298447655713,-0.4078036935244834,1.1026918420481029,-0.5051201760998218,0.7301946093710374,0.8687619605057022,0.9171726091882584,0.8387097263549993
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,2298.6764179058423,0.9625026085966157,0.00036807071503380166,0.42926096877571784,0.6529035053629464,0.2842535271062112,0.4171961786500788,0.4939210342453613,0.3984569133338838
BLEND_opti,PAC,1.0,10.0,0,,,,,2224.0434901341087,0.9310394613115184,-0.13462350840026072,0.4333634327622295,0.6751229506792082,0.22486463361194226,0.34733877263618707,0.42251389856318244,0.3315724349371039
ELM,PAC,1.0,10.0,27000,500.0,100.0,10.0,25.0,1879.9133158152229,0.7869780823231181,-0.02283933855223375,0.4050806198517729,0.7678823690601912,0.21018918136603407,0.29359443134734325,0.3442549619963627,0.2826795249032467
Persistence_P,PAC,1.0,10.0,0,,,,,4739.379380539533,1.9840211061440933,-0.8524839731657763,1.0743787460876366,-0.4752833149495006,0.5574761616585351,0.740169976170111,0.814586315879529,0.7040774845693917
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,2298.9391237830323,0.9623926208681572,0.0003680707150338054,0.4292609687757178,0.6528737763437695,0.2227359374841836,0.35903555715628566,0.4401107552377109,0.34062741662606005
