Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,1066.2058691795908,0.6265434475270382,-0.015513787422828842,0.26466878472328703,0.8800681478915333,0.9256983725154615,0.9378661500866479,0.944520169662719,0.9360282307549429
ELM,PAC,1.0,0.5,27000,500.0,100.0,1064.1622762865018,0.6253425539908181,-0.0007102323821664857,0.2767960150854378,0.8805274531802132,0.9681142449467346,0.9360685454641366,0.9038654007995199,0.936016063736797
Persistence_P,PAC,1.0,0.5,0,,,1136.7404840208992,0.6679922915356256,-0.0010200875306589912,0.28502719371885643,0.8636751409338037,0.9969033923817296,0.9999104790303295,0.9999974817329861,0.9989371177150151
Persistence_Pcyclic,PAC,1.0,0.5,0,,,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,2.2633362812012066,2.276648531665089,2.049865543765355,2.1966167855438834
BLEND_opti,PAC,1.0,1.0,0,,,1476.266429657961,0.8675107547645039,-0.0375680237464449,0.38099416423427457,0.7700772788111734,0.8043503246032346,0.8661098797729314,0.9010956932205302,0.8571852991988987
ELM,PAC,1.0,1.0,27000,500.0,100.0,1421.3831858870099,0.8352592564772379,-0.006921363565577219,0.3881524950218816,0.7868551958931097,0.8194629069815006,0.8339104618975142,0.841393853625294,0.8315890741681029
Persistence_P,PAC,1.0,1.0,0,,,1703.2678487417554,1.0009054919513558,-0.005476082824288577,0.46841907989314546,0.693931736090406,0.9889207613445782,0.9992892082742931,0.9999483581974994,0.9960527759387903
Persistence_Pcyclic,PAC,1.0,1.0,0,,,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,1.3661840984928542,1.5184638099210028,1.492239359915278,1.4589624227763782
BLEND_opti,PAC,1.0,3.0,0,,,2083.0454947029198,1.2239375669212436,-0.08015583252303236,0.5633177050109153,0.5422635908159965,0.5416784070005543,0.6640243724260031,0.7329569224013902,0.6462199006093159
ELM,PAC,1.0,3.0,27000,500.0,100.0,1926.1656691624403,1.131759497618716,9.512981782696583e-05,0.5709029450151946,0.6086140566907408,0.548972267437899,0.6140148896923221,0.6539878641158174,0.6056583404153462
Persistence_P,PAC,1.0,3.0,0,,,3043.7841579940855,1.7884399481635023,-0.10527193333917706,0.9353024743749062,0.02266004759272311,0.8993737457147013,0.9702845523306659,0.9876887930659135,0.952449030370427
Persistence_Pcyclic,PAC,1.0,3.0,0,,,2588.3380928046936,1.5208329514323726,-0.00104230399224315,0.6471162537942582,0.2932595385347182,0.6222579165919312,0.8250993951267853,0.9274659334912859,0.791607748403334
BLEND_opti,PAC,1.0,6.0,0,,,2293.1509370027993,1.3471585745100145,-0.17714179456710713,0.6160651503561837,0.4453340004540767,0.41024440479127106,0.5523048182064675,0.6310561209824219,0.5312017813267201
ELM,PAC,1.0,6.0,27000,500.0,100.0,2091.680824055792,1.2288008223950126,0.00043496137191120456,0.6389465108859925,0.538515528306418,0.425481348685823,0.5037807928971394,0.5398269773097495,0.48969637296423735
Persistence_P,PAC,1.0,6.0,0,,,3557.274075447551,2.089793652608355,-0.4279187453814231,1.0745030139049754,-0.3347530349036023,0.7155231051959615,0.8567685536297697,0.9065679677357653,0.8262865421871655
Persistence_Pcyclic,PAC,1.0,6.0,0,,,2588.559902825194,1.5207026334174152,-0.0010423039922431519,0.6471162537942582,0.29322252262801773,0.4309216682928669,0.623453992267529,0.724140407603558,0.5928386893879846
BLEND_opti,PAC,1.0,10.0,0,,,2394.860670902571,1.4065885205020678,-0.2522254407442647,0.6290007646704184,0.3951358479682031,0.33798878868653975,0.4943415718797653,0.5842257446012247,0.4721853683891766
ELM,PAC,1.0,10.0,27000,500.0,100.0,2112.321236534136,1.2406428645395393,-0.002274017935852772,0.6429131610819734,0.5294375449077604,0.3454645093453728,0.43602043871293555,0.4787141279054899,0.4200663586545994
Persistence_P,PAC,1.0,10.0,0,,,3657.818742730076,2.1483695966589886,-0.7915348022520454,1.070302452928322,-0.4110477294959103,0.5751189027298311,0.7550384408170921,0.8269297451270319,0.719029029557985
Persistence_Pcyclic,PAC,1.0,10.0,0,,,2588.8557382436256,1.5205288586901402,-0.0010423039922431508,0.6471162537942583,0.29317314230699465,0.34772300932558625,0.5343855826614677,0.6382883582502344,0.5067989834124295
