Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,sigma2_corr,tau_corr,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,1066.2058691795908,0.6265434475270382,-0.015513787422828842,0.26466878472328703,0.8800681478915333,0.9256983725154615,0.9378661500866479,0.944520169662719,0.9360282307549429
ELM,PAC,1.0,0.5,27000,500.0,100.0,10.0,0.5,1075.1439919788877,0.6317958311754236,0.0024146460782870534,0.26461858732379473,0.8780489152901509,0.9255228034506656,0.9457283866969458,0.9481492146505182,0.9398001349327099
Persistence_P,PAC,1.0,0.5,0,,,,,1136.7404840208992,0.6679922915356256,-0.0010200875306589912,0.28502719371885643,0.8636751409338037,0.9969033923817296,0.9999104790303295,0.9999974817329861,0.9989371177150151
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,2.2633362812012066,2.276648531665089,2.049865543765355,2.1966167855438834
BLEND_opti,PAC,1.0,1.0,0,,,,,1476.266429657961,0.8675107547645039,-0.0375680237464449,0.38099416423427457,0.7700772788111734,0.8043503246032346,0.8661098797729314,0.9010956932205302,0.8571852991988987
ELM,PAC,1.0,1.0,27000,500.0,100.0,25.0,0.5,1416.289330367681,0.8322659116734424,0.0014113730754903532,0.3701137180780018,0.788380165890403,0.7813796567579272,0.8309219508111727,0.8621964699351862,0.8248326925014288
Persistence_P,PAC,1.0,1.0,0,,,,,1703.2678487417554,1.0009054919513558,-0.005476082824288577,0.46841907989314546,0.693931736090406,0.9889207613445782,0.9992892082742931,0.9999483581974994,0.9960527759387903
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,1.3661840984928542,1.5184638099210028,1.492239359915278,1.4589624227763782
BLEND_opti,PAC,1.0,3.0,0,,,,,2083.0454947029198,1.2239375669212436,-0.08015583252303236,0.5633177050109153,0.5422635908159965,0.5416784070005543,0.6640243724260031,0.7329569224013902,0.6462199006093159
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,0.5,1938.9279288704158,1.139258234028995,0.003454810481693393,0.5702723735103886,0.6034104370843932,0.5483659187199644,0.6180831884956254,0.6630936766353943,0.6098475946169947
Persistence_P,PAC,1.0,3.0,0,,,,,3043.7841579940855,1.7884399481635023,-0.10527193333917706,0.9353024743749062,0.02266004759272311,0.8993737457147013,0.9702845523306659,0.9876887930659135,0.952449030370427
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,2588.3380928046936,1.5208329514323726,-0.00104230399224315,0.6471162537942582,0.2932595385347182,0.6222579165919312,0.8250993951267853,0.9274659334912859,0.791607748403334
BLEND_opti,PAC,1.0,6.0,0,,,,,2293.1509370027993,1.3471585745100145,-0.17714179456710713,0.6160651503561837,0.4453340004540767,0.41024440479127106,0.5523048182064675,0.6310561209824219,0.5312017813267201
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,0.5,2107.1027779610495,1.2378607656826184,0.00112923793911382,0.6401727516968156,0.5316853953862893,0.42629791562079095,0.5074951665611619,0.5459592517107867,0.49325077796424655
Persistence_P,PAC,1.0,6.0,0,,,,,3557.274075447551,2.089793652608355,-0.4279187453814231,1.0745030139049754,-0.3347530349036023,0.7155231051959615,0.8567685536297697,0.9065679677357653,0.8262865421871655
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,2588.559902825194,1.5207026334174152,-0.0010423039922431519,0.6471162537942582,0.29322252262801773,0.4309216682928669,0.623453992267529,0.724140407603558,0.5928386893879846
BLEND_opti,PAC,1.0,10.0,0,,,,,2394.860670902571,1.4065885205020678,-0.2522254407442647,0.6290007646704184,0.3951358479682031,0.33798878868653975,0.4943415718797653,0.5842257446012247,0.4721853683891766
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,0.5,2125.513652485641,1.2483912488445361,-0.001119729213466618,0.6476549258308345,0.523541433099224,0.3480124606575526,0.4387435865426174,0.48267993834232337,0.4231453285141645
Persistence_P,PAC,1.0,10.0,0,,,,,3657.818742730076,2.1483695966589886,-0.7915348022520454,1.070302452928322,-0.4110477294959103,0.5751189027298311,0.7550384408170921,0.8269297451270319,0.719029029557985
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,2588.8557382436256,1.5205288586901402,-0.0010423039922431508,0.6471162537942583,0.29317314230699465,0.34772300932558625,0.5343855826614677,0.6382883582502344,0.5067989834124295
