Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,50.0,336,1056.6039575092689,0.621827707883527,0.004628432751280831,0.2752776341900364,0.8820256015138949,0.9658347435705412,0.9304274846339605,0.8952607229309948,0.9305076503784987
Persistence_P,PAC,1.0,0.5,0,6m,,336,1135.6112915397673,0.6683247412109287,-0.0010195137122945498,0.2850152534090643,0.8637229543479304,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,50.0,336,1404.5438126924287,0.82659567329972,0.006628697177202744,0.38540782988870237,0.7915346459905672,0.8227875338811423,0.8254284806494737,0.8236010490595617,0.8239390211967259
Persistence_P,PAC,1.0,1.0,0,6m,,336,1701.5935912306884,1.0014140445569892,-0.005474101631172478,0.46841719644281504,0.6940327183296549,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,100.0,336,1950.2065660596459,1.1477266105750277,0.0069455116056225995,0.5873802885379421,0.5980939587802521,0.6279580174337703,0.6413711781559276,0.6639910716498671,0.6444400890798551
Persistence_P,PAC,1.0,3.0,0,6m,,336,3040.683199495939,1.7894889101112632,-0.10528361469988186,0.9353814621849177,0.02297504897495295,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,100.0,336,2112.6935591794927,1.2433527094311967,0.011438168973940689,0.6400953672782497,0.5283320983084515,0.5956822603833417,0.5945657735402723,0.6097559667788752,0.6000013335674964
Persistence_P,PAC,1.0,6.0,0,6m,,336,3553.3386770646184,2.091194557042526,-0.4280251074075559,1.0745583843076452,-0.33424785064082085,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,100.0,336,2133.215934676239,1.2554304435952341,0.012628492823562033,0.644584494235894,0.5191241755447089,0.6022674338548479,0.5839151746189032,0.5951723398642323,0.5937849827793278
Persistence_P,PAC,1.0,10.0,0,6m,,336,3653.2976490438004,2.150021952100493,-0.7916520678348702,1.0702629064802547,-0.4103711657453273,1.0,1.0,1.0,1.0
